AGGREGATE_BUNDLED v2,,,,,,,,,
all SKUs are unique,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,,GradStreet SKU,FNSKU,Packaging,Labels,order
2,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 48","Tassel, color 014",ALL YEAR TAGS,,UBC0173F48T00140000K01,X0022R2KF3,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",93
5,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173F48T00250190K01,X0022R2KFN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",94
2,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 48","Tassel, color 104",ALL YEAR TAGS,,UBC0173F48T01040000K01,X0022P8LPN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",95
2,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 51","Tassel, color 014",ALL YEAR TAGS,,UBC0173F51T00140000K01,X0022NEH8Z,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",96
6,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173F51T00250190K01,X0022Q70VX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",97
2,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 51","Tassel, color 104",ALL YEAR TAGS,,UBC0173F51T01040000K01,X0022NEH8P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",98
2,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 54","Tassel, color 014",ALL YEAR TAGS,,UBC0173F54T00140000K01,X0022OD8LV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",99
4,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173F54T00250190K01,X0022Q6O33,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",100
4,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173F57T00250190K01,X0022P8OY1,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",101
2,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 60","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173F60T00250190K01,X0022S1UDP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",102
